PROC_REA,NOME_PROC
201010127,BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO
201010135,BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO)
201010143,BIOPSIA DE ENDOCARDIO / MIOCARDIO
201010208,BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO
201010267,BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO)
201010275,BIOPSIA DE MEDULA OSSEA
201010305,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO)
201010313,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO)
201010321,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO)
201010330,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO)
201010402,BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA)
201010534,BIOPSIA ESTEREOTAXICA
201010550,BIOPSIA PRE-ESCALENICA
209040033,TRAQUEOSCOPIA
209040050,VIDEOTORACOSCOPIA
211050091,EXPLORACAO DIAGNOSTICA PELO VIDEO-ELETROENCEFALOGRAMA COM OU SEM USO DE ELETRODO DE PROFUNDIDADE
211050105,POLISSONOGRAFIA
301050074,INTERNACAO DOMICILIAR
301060010,DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA
301060070,DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA
301060088,DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA
303010010,TRATAMENTO DE DENGUE CLASSICA
303010037,TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS
303010045,TRATAMENTO DE DOENCAS BACTERIANAS ZOONOTICAS
303010053,TRATAMENTO DE OUTRAS DOENCAS DEVIDAS A PROTOZOARIOS (B55 A B64)
303010061,TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS
303010070,TRATAMENTO DE FEBRES POR ARBOVIRUS E FEBRES HEMORRAGICAS VIRAIS
303010100,TRATAMENTO DE HELMINTIASES (B65 a B83)
303010118,TRATAMENTO DE HEPATITES VIRAIS
303010126,TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64)
303010134,TRATAMENTO DE INFECCOES VIRAIS CARACTERIZADAS POR LESOES DE PELE E MUCOSAS (B00 A B09)
303010142,TRATAMENTO DE INFECCOES VIRAIS DO SISTEMA NERVOSO CENTRAL
303010150,TRATAMENTO DE MALARIA
303010169,TRATAMENTO DE MICOSES (B35 A B49)
303010185,TRATAMENTO DE OUTRAS DOENCAS CAUSADAS POR ESPIROQUETAS (A65 A A69)
303010193,TRATAMENTO DE OUTRAS DOENCAS CAUSADAS POR VIRUS (B25 A B34)
303010215,TRATAMENTO DE TUBERCULOSE (A15 A A19)
303020032,TRATAMENTO DE ANEMIA APLASTICA E OUTRAS ANEMIAS
303020040,TRATAMENTO DE ANEMIA HEMOLITICA
303020059,TRATAMENTO DE ANEMIAS NUTRICIONAIS
303020067,TRATAMENTO DE DEFEITOS DA COAGULACAO PURPURA E OUTRAS AFECCOES HEMORRAGICAS
303020075,TRATAMENTO DE HEMOFILIAS
303020083,TRATAMENTO DE OUTRAS DOENCAS DO SANGUE E DOS ORGAOS HEMATOPOIETICOS
303030020,TRATAMENTO DE DESNUTRICAO
303030038,TRATAMENTO DE DIABETES MELLITUS
303030046,TRATAMENTO DE DISTURBIOS METABOLICOS
303030054,TRATAMENTO DE TRANSTORNOS DA GLANDULA TIREOIDE
303030062,TRATAMENTO DE TRANSTORNOS DE OUTRAS GLANDULAS ENDOCRINAS
303040017,AJUSTE MEDICAMENTOSO DE SITUACOES NEUROLOGICAS AGUDIZADAS
303040033,TRATAMENTO DA MIGRANEA COMPLICADA
